Facility Name,Latitude,Longitude,Geometry,Sectors_Industry_Type,Total reported direct emissions
AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,30.237362,-93.285908,"{""type"":""Point"",""coordinates"":[-93.285908,30.237362]}",Chemicals,801530.8
AIR PRODUCTS & CHEMICALS INC - CONVENT SMR,30.10872,-90.88415,"{""type"":""Point"",""coordinates"":[-90.88415,30.10872]}",Chemicals,700490.6
AIR PRODUCTS & CHEMICALS INC - Geismar SMR,30.183808,-90.9876,"{""type"":""Point"",""coordinates"":[-90.9876,30.183808]}","Chemicals,Suppliers of CO2",62556.3
AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,30.029033,-89.900517,"{""type"":""Point"",""coordinates"":[-89.900517,30.029033]}",Chemicals,225715.84
AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,38.026667,-122.067222,"{""type"":""Point"",""coordinates"":[-122.067222,38.026667]}",Chemicals,742219.1
"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",38.026667,-122.067222,"{""type"":""Point"",""coordinates"":[-122.067222,38.026667]}",Chemicals,196659.192
AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,38.384444,-82.598528,"{""type"":""Point"",""coordinates"":[-82.598528,38.384444]}",Chemicals,221255.8
AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,30.075832,-90.624885,"{""type"":""Point"",""coordinates"":[-90.624885,30.075832]}",Chemicals,916355
AIR PRODUCTS AND CHEMICALS INCORPORATED,38.529722,-121.398889,"{""type"":""Point"",""coordinates"":[-121.398889,38.529722]}",Chemicals,44246.3
AIR PRODUCTS BAYTOWN PLANT,29.757778,-95.023056,"{""type"":""Point"",""coordinates"":[-95.023056,29.757778]}",Chemicals,342308.9
AIR PRODUCTS CARSON HYDROGEN PLANT,33.812778,-118.231389,"{""type"":""Point"",""coordinates"":[-118.231389,33.812778]}",Chemicals,672737.2
AIR PRODUCTS WILMINGTON HYDROGEN PLANT,33.780833,-118.241111,"{""type"":""Point"",""coordinates"":[-118.241111,33.780833]}",Chemicals,632469.67
"AJINOMOTO HEARTLAND, INC.",41.143573,-92.647934,"{""type"":""Point"",""coordinates"":[-92.647934,41.143573]}",Other,116558.612
AK STEEL,39.96136,-82.00034,"{""type"":""Point"",""coordinates"":[-82.00034,39.96136]}",Metal,28485.192
AK STEEL CORP *,40.20175,-81.88612,"{""type"":""Point"",""coordinates"":[-81.88612,40.20175]}",Metals,46115.528
AKER PLANT,31.90806,-96.227219,"{""type"":""Point"",""coordinates"":[-96.227219,31.90806]}","Petroleum and Natural Gas Systems,Suppliers of CO2",40335.502
AK STEEL CORP MANSFIELD WORKS,40.78449,-82.52327,"{""type"":""Point"",""coordinates"":[-82.52327,40.78449]}",Metals,117238.696
AK STEEL CORP/BUTLER WORKS,40.82926,-79.94273,"{""type"":""Point"",""coordinates"":[-79.94273,40.82926]}","Metals,Waste",268048.124
AK STEEL CORPORATION,37.9849,-87.0259,"{""type"":""Point"",""coordinates"":[-87.0259,37.9849]}",Metals,133595.696
AK STEEL DEARBORN WORKS,42.301742,-83.162934,"{""type"":""Point"",""coordinates"":[-83.162934,42.301742]}",Metals,1440877.778
AK Steel Corporation - Middletown,39.4968,-84.3901,"{""type"":""Point"",""coordinates"":[-84.3901,39.4968]}",Metal,4485150.388
AK Steel Corporation West Works,38.496387,-82.670265,"{""type"":""Point"",""coordinates"":[-82.670265,38.496387]}",Metals,1337116.354
AKRON REGIONAL LANDFILL *,41.151282,-81.559298,"{""type"":""Point"",""coordinates"":[-81.559298,41.151282]}",Waste,3591.5
AKZO NOBEL SURFACE CHEMISTRY LLC,41.406491,-88.336055,"{""type"":""Point"",""coordinates"":[-88.336055,41.406491]}",Chemicals,52580.22
AL CORN CLEAN FUEL,44.049412,-93.017379,"{""type"":""Point"",""coordinates"":[-93.017379,44.049412]}","Other,Suppliers of CO2,Waste",71172.132
AL Sandersville,33.1189,-82.8608,"{""type"":""Point"",""coordinates"":[-82.8608,33.1189]}",Power Plants,4604.984
AL TURI LANDFILL & LFGTE FACILITY,41.40382,-74.3797,"{""type"":""Point"",""coordinates"":[-74.3797,41.40382]}",Waste,22486.95
"ALABAMA RIVER CELLULOSE, LLC",31.580112,-87.490073,"{""type"":""Point"",""coordinates"":[-87.490073,31.580112]}","Pulp and Paper,Waste",365100.578
ALADDIN MILLS - ANTIOCH RD PLA NT,34.73559,-84.94996,"{""type"":""Point"",""coordinates"":[-84.94996,34.73559]}",Other,43488.384
ALBANY LANDFILL,42.70879,-73.85624,"{""type"":""Point"",""coordinates"":[-73.85624,42.70879]}",Waste,156346.5
ALBEMARLE CORPORATION HOUSTON PLANT,29.742498,-95.165513,"{""type"":""Point"",""coordinates"":[-95.165513,29.742498]}",Chemicals,69219.14
ALBEMARLE CORPORATION-SOUTH PLANT,33.1756,-93.2169,"{""type"":""Point"",""coordinates"":[-93.2169,33.1756]}",Chemicals,79732.5
ALCOA INC - WARRICK OPERATIONS,37.915,-87.3328,"{""type"":""Point"",""coordinates"":[-87.3328,37.915]}","Metals,Power Plants",6827547.906
ALCOA INC DAVENPORT WORKS,41.53425,-90.46246,"{""type"":""Point"",""coordinates"":[-90.46246,41.53425]}",Metals,260372.02
ALCOA INC MASSENA OPERATIONS,44.950425,-74.893685,"{""type"":""Point"",""coordinates"":[-74.893685,44.950425]}","Metals,Waste",321629.118
ALCOA INC WENATCHEE WORKS,47.3567,-120.1273,"{""type"":""Point"",""coordinates"":[-120.1273,47.3567]}",Metals,331207.412
ALCOA INC. - LAFAYETTE OPERATIONS,40.401833,-86.862417,"{""type"":""Point"",""coordinates"":[-86.862417,40.401833]}",Metals,50403.16
ALCOA INC.-NORTH PLANT,35.811815,-83.969576,"{""type"":""Point"",""coordinates"":[-83.969576,35.811815]}",Metals,208571.22
ALCOA INTALCO WORKS,48.8455,-122.7055,"{""type"":""Point"",""coordinates"":[-122.7055,48.8455]}","Metals,Waste",1195785.657
ALCOA WORLD ALUMINA ATLANTIC,28.3909,-96.3332,"{""type"":""Point"",""coordinates"":[-96.3332,28.3909]}","Metals,Waste",959990.606
ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL,35.73566,-84.0618,"{""type"":""Point"",""coordinates"":[-84.0618,35.73566]}",Waste,44551
ALCON LABORATORIES,32.65784,-97.32095,"{""type"":""Point"",""coordinates"":[-97.32095,32.65784]}",Chemicals,33980.072
ALERIS ROLLED PRODUCTS INC,37.944444,-86.854167,"{""type"":""Point"",""coordinates"":[-86.854167,37.944444]}",Metals,178364.528
ALL PURPOSE LANDFILL,37.4135,-121.9724,"{""type"":""Point"",""coordinates"":[-121.9724,37.4135]}",Waste,53404.5
ALLEGANY BALLISTICS LABORATORY,39.56097,-78.84361,"{""type"":""Point"",""coordinates"":[-78.84361,39.56097]}",Other,18553.322
ALLIANCE COMPRESSOR STATION,33.03425,-97.34692,"{""type"":""Point"",""coordinates"":[-97.34692,33.03425]}",Petroleum and Natural Gas Systems,63911.622
ALLEGHENY LUDLUM BRACKENRIDGE PLANT,40.60852,-79.72701,"{""type"":""Point"",""coordinates"":[-79.72701,40.60852]}",Metals,146125.26
"ALLEGHENY LUDLUM, BAGDAD FACILITY",40.641389,-79.6,"{""type"":""Point"",""coordinates"":[-79.6,40.641389]}",Metals,41640.144
"ALLEGHENY LUDLUM, VANDERGRIFT FACILITY",40.6,79.567778,"{""type"":""Point"",""coordinates"":[79.567778,40.6]}",Metals,37588.208
ALLEN COUNTY PUBLIC WORKS,38.007907,-95.289343,"{""type"":""Point"",""coordinates"":[-95.289343,38.007907]}",Waste,57499.612
ALLIANCE SANI LDFL,41.38835,-75.737311,"{""type"":""Point"",""coordinates"":[-75.737311,41.38835]}",Waste,47414.944
ALLIANT LLC-LAKE CITY ARMY AMMUNITION PLANT,-39.103,-94.2783,"{""type"":""Point"",""coordinates"":[-94.2783,-39.103]}",Other,33973.372
ALLIED IMPERIAL LANDFILL,32.85825,-115.5222,"{""type"":""Point"",""coordinates"":[-115.5222,32.85825]}",Waste,11343
ALLISON COMPRESSOR STATION,35.60485,-100.18306,"{""type"":""Point"",""coordinates"":[-100.18306,35.60485]}",Petroleum and Natural Gas Systems,16478.788
ALLISON GAS PLANT,35.60785,-100.10148,"{""type"":""Point"",""coordinates"":[-100.10148,35.60785]}",Petroleum and Natural Gas Systems,43877.602
"ALLISON TRANSMISSION, Inc.",39.78039,-86.238893,"{""type"":""Point"",""coordinates"":[-86.238893,39.78039]}",Other,26049.738
ALMATIS INC - BAUXITE ARKANSAS,34.57451,-92.52937,"{""type"":""Point"",""coordinates"":[-92.52937,34.57451]}",Metals,53956.696
ALLIANCE PIPELINE - OLIVIA 23-A,44.8491,-94.8969,"{""type"":""Point"",""coordinates"":[-94.8969,44.8491]}",Petroleuem and Natural Gas Systems,89871.362
ALON REFINING KROTZ SPRINGS INC,30.526504,-91.748383,"{""type"":""Point"",""coordinates"":[-91.748383,30.526504]}","Petroleum Product Suppliers,Refineries",445406.45
ALLIANCE PIPELINE L.P. - MANCHESTER,42.46906,-91.55145,"{""type"":""Point"",""coordinates"":[-91.55145,42.46906]}",Petroleuem and Natural Gas Systems,82023.342
ALPHA RIDGE LANDFILL,39.3053,-76.90338,"{""type"":""Point"",""coordinates"":[-76.90338,39.3053]}",Waste,29709.442
ALLIANCE PIPELINE LP,41.59254,-89.78497,"{""type"":""Point"",""coordinates"":[-89.78497,41.59254]}",Petroleuem and Natural Gas Systems,54303.896
ALTAMONT GAS PLANT,40.35932,-110.28605,"{""type"":""Point"",""coordinates"":[-110.28605,40.35932]}","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",52863.2
"ALLIANCE PIPELINE, L.P.-FAIRMOUNT COMPRESSOR STATION",45.993367,-96.648999,"{""type"":""Point"",""coordinates"":[-96.648999,45.993367]}",Petroleum and Natural Gas Systems,93322.2
"ALTIVIA Petrochemicals, LLC - HAVERHILL COMPLEX",38.59167,-82.81944,"{""type"":""Point"",""coordinates"":[-82.81944,38.59167]}",Chemicals,17892.532
"ALLIANCE PIPELINE, L.P.-WIMBLEDON COMPRESSOR STATION",47.191058,-98.42561,"{""type"":""Point"",""coordinates"":[-98.42561,47.191058]}",Petroleum and Natural Gas Systems,96939.486
ALTON STEEL COMPANY,38.88321,-90.14503,"{""type"":""Point"",""coordinates"":[-90.14503,38.88321]}",Metals,41463.996
ALYESKA PIPELINE SE/TAPS PUMP STATION 01,70.257222,-148.617778,"{""type"":""Point"",""coordinates"":[-148.617778,70.257222]}",Other,85080.126
"ALYESKA PIPELINE SERVICE COMPANY, Valdez Marine Terminal",61.0861,-146.3889,"{""type"":""Point"",""coordinates"":[-146.3889,61.0861]}",Other,35499.838
"AM/NS Calvert, LLC",31.15624,-88.01275,"{""type"":""Point"",""coordinates"":[-88.01275,31.15624]}",Metals,447237.116
AMALGAMATED SUGAR CO LLC,42.53382,-114.43737,"{""type"":""Point"",""coordinates"":[-114.43737,42.53382]}",Minerals,271558.444
AMALGAMATED SUGAR CO LLC,43.6043,-116.575,"{""type"":""Point"",""coordinates"":[-116.575,43.6043]}","Minerals,Waste",359716.252
AMALGAMATED SUGAR CO LLC,42.611671,-113.757423,"{""type"":""Point"",""coordinates"":[-113.757423,42.611671]}","Minerals,Waste",277341.29
AMEA Sylacauga Plant,33.1661,-86.2825,"{""type"":""Point"",""coordinates"":[-86.2825,33.1661]}",Power Plants,39003.504
